entity,year,record,builtup,carbon,cropland,fishing,forest,grazing,total
Germany,1999,EFConsPerCap,0.2,3.58,0.83,0.06,0.58,0.17,5.42
Germany,1999,BiocapPerCap,0.2,0,0.58,0.08,0.75,0.09,1.7
Germany,2000,EFConsPerCap,0.2,3.69,0.81,0.07,0.64,0.18,5.59
Germany,2000,BiocapPerCap,0.2,0,0.57,0.08,0.75,0.09,1.69
Germany,2001,EFConsPerCap,0.2,3.83,0.91,0.06,0.57,0.14,5.71
Germany,2001,BiocapPerCap,0.2,0,0.68,0.08,0.75,0.08,1.79
Germany,2002,EFConsPerCap,0.17,3.46,0.81,0.06,0.52,0.16,5.19
Germany,2002,BiocapPerCap,0.17,0,0.6,0.08,0.75,0.08,1.68
Germany,2003,EFConsPerCap,0.17,3.41,0.81,0.07,0.58,0.16,5.2
Germany,2003,BiocapPerCap,0.17,0,0.58,0.07,0.75,0.08,1.65
Germany,2004,EFConsPerCap,0.2,3.33,0.93,0.06,0.58,0.16,5.27
Germany,2004,BiocapPerCap,0.2,0,0.69,0.07,0.75,0.08,1.79
Germany,2005,EFConsPerCap,0.2,3.3,0.89,0.06,0.57,0.16,5.18
Germany,2005,BiocapPerCap,0.2,0,0.65,0.07,0.75,0.08,1.75
Germany,2006,EFConsPerCap,0.19,3.41,0.89,0.07,0.69,0.16,5.42
Germany,2006,BiocapPerCap,0.19,0,0.63,0.07,0.75,0.08,1.72
Germany,2007,EFConsPerCap,0.19,3.29,0.93,0.06,0.72,0.17,5.37
Germany,2007,BiocapPerCap,0.19,0,0.61,0.07,0.75,0.09,1.71
Germany,2008,EFConsPerCap,0.21,3.55,0.94,0.06,0.57,0.17,5.5
Germany,2008,BiocapPerCap,0.21,0,0.65,0.08,0.75,0.09,1.78
Germany,2009,EFConsPerCap,0.22,3.21,0.96,0.07,0.45,0.17,5.08
Germany,2009,BiocapPerCap,0.22,0,0.66,0.08,0.75,0.09,1.79
Germany,2010,EFConsPerCap,0.22,3.59,0.91,0.06,0.6,0.17,5.54
Germany,2010,BiocapPerCap,0.22,0,0.62,0.08,0.75,0.09,1.75
Germany,2011,EFConsPerCap,0.2,3.5,0.86,0.06,0.62,0.19,5.43
Germany,2011,BiocapPerCap,0.2,0,0.55,0.07,0.75,0.09,1.66
Germany,2012,EFConsPerCap,0.21,3.39,0.9,0.06,0.6,0.17,5.33
Germany,2012,BiocapPerCap,0.21,0,0.59,0.07,0.75,0.09,1.72
Germany,2013,EFConsPerCap,0.22,3.41,0.91,0.05,0.61,0.18,5.38
Germany,2013,BiocapPerCap,0.22,0,0.63,0.07,0.74,0.09,1.76
Germany,2014,EFConsPerCap,0.24,3.17,0.97,0.05,0.59,0.17,5.19
Germany,2014,BiocapPerCap,0.24,0,0.68,0.07,0.74,0.09,1.82
Germany,2015,EFConsPerCap,0.22,3.09,0.89,0.05,0.6,0.17,5.02
Germany,2015,BiocapPerCap,0.22,0,0.63,0.07,0.73,0.09,1.74
Germany,2016,EFConsPerCap,0.21,3.01,0.84,0.06,0.57,0.18,4.86
Germany,2016,BiocapPerCap,0.21,0,0.58,0.07,0.72,0.09,1.68
Germany,2017,EFConsPerCap,0.21,3.03,0.85,0.05,0.55,0.19,4.87
Germany,2017,BiocapPerCap,0.21,0,0.57,0.07,0.72,0.09,1.66
Germany,2018,EFConsPerCap,0.18,2.94,0.76,0.05,0.6,0.19,4.72
Germany,2018,BiocapPerCap,0.18,0,0.5,0.07,0.72,0.09,1.56
Germany,2019,EFConsPerCap,0.2,2.84,0.81,0.05,0.5,0.18,4.58
Germany,2019,BiocapPerCap,0.2,0,0.54,0.07,0.71,0.09,1.61
Germany,2020,EFConsPerCap,0.2,2.47,0.82,0.06,0.48,0.19,4.22
Germany,2020,BiocapPerCap,0.2,0,0.55,0.07,0.71,0.09,1.63
Germany,2021,EFConsPerCap,0.2,2.66,0.78,0.05,0.5,0.18,4.37
Germany,2021,BiocapPerCap,0.2,0,0.55,0.07,0.71,0.09,1.62
Germany,2022,EFConsPerCap,0.2,2.69,0.78,0.05,0.49,0.18,4.39
Germany,2022,BiocapPerCap,0.2,0,0.54,0.07,0.71,0.09,1.6
Germany,2023,EFConsPerCap,0.19,2.43,0.79,0.05,0.39,0.17,4.03
Germany,2023,BiocapPerCap,0.19,0,0.54,0.07,0.7,0.09,1.59
Germany,2024,EFConsPerCap,0,0,0,0,0,0,3.77
Germany,2024,BiocapPerCap,0,0,0,0,0,0,1.59
Germany,2025,EFConsPerCap,0,0,0,0,0,0,3.78
Germany,2025,BiocapPerCap,0,0,0,0,0,0,1.6
